female,callback,skillspeaking,skillsocialper,east_asian,south_asian,anglo,vancouver,toronto,montreal
1,0,54.90196078431372,42.1875,1,0,0,0,1,0
1,0,54.90196078431372,42.1875,0,1,0,0,1,0
0,0,33.33333333333333,50.0,0,1,0,0,1,0
1,0,33.33333333333333,50.0,0,1,0,0,1,0
1,0,33.33333333333333,50.0,1,0,0,0,1,0
0,0,33.33333333333333,50.0,0,0,1,0,1,0
0,0,72.54901960784314,53.125,1,0,0,0,1,0
0,0,72.54901960784314,53.125,0,1,0,0,1,0
1,0,72.54901960784314,53.125,0,0,0,0,1,0
0,0,72.54901960784314,53.125,1,0,0,0,1,0
0,0,56.86274509803921,35.9375,0,1,0,0,1,0
0,0,56.86274509803921,35.9375,0,0,1,0,1,0
0,0,56.86274509803921,35.9375,1,0,0,0,1,0
1,0,56.86274509803921,35.9375,1,0,0,0,1,0
0,0,47.05882352941176,26.5625,0,0,1,0,1,0
1,0,47.05882352941176,26.5625,0,1,0,0,1,0
0,0,47.05882352941176,26.5625,1,0,0,0,1,0
0,1,47.05882352941176,26.5625,0,1,0,0,1,0
0,1,78.4313725490196,64.0625,0,0,1,0,1,0
0,0,78.4313725490196,64.0625,0,1,0,0,1,0
0,0,78.4313725490196,64.0625,1,0,0,0,1,0
1,0,78.4313725490196,64.0625,1,0,0,0,1,0
1,0,70.58823529411764,70.3125,0,1,0,0,1,0
0,0,70.58823529411764,70.3125,1,0,0,0,1,0
1,0,70.58823529411764,70.3125,0,0,0,0,1,0
1,0,76.47058823529412,65.625,0,1,0,0,1,0
1,0,76.47058823529412,65.625,1,0,0,0,1,0
1,0,76.47058823529412,65.625,0,0,0,0,1,0
1,0,76.47058823529412,65.625,1,0,0,0,1,0
0,0,52.94117647058823,46.875,0,0,1,0,1,0
1,0,52.94117647058823,46.875,0,1,0,0,1,0
1,0,52.94117647058823,46.875,1,0,0,0,1,0
0,0,52.94117647058823,46.875,1,0,0,0,1,0
0,0,74.50980392156862,57.8125,0,0,0,0,1,0
1,0,74.50980392156862,57.8125,0,1,0,0,1,0
1,0,74.50980392156862,57.8125,1,0,0,0,1,0
0,0,39.2156862745098,46.875,0,0,0,0,1,0
0,0,39.2156862745098,46.875,1,0,0,0,1,0
0,0,39.2156862745098,46.875,1,0,0,0,1,0
0,0,39.2156862745098,46.875,0,1,0,0,1,0
1,1,58.8235294117647,51.5625,0,1,0,0,1,0
1,1,58.8235294117647,51.5625,0,0,1,0,1,0
